id,class_id
000000_class224.jpg,362
000001_class049.jpg,205
000002_class281.jpg,85
000003_class167.jpg,116
000004_class310.jpg,254
000005_class136.jpg,100
000006_class128.jpg,319
000007_class283.jpg,283
000008_class174.jpg,185
000009_class232.jpg,232
000010_class360.jpg,283
000011_class046.jpg,325
000012_class305.jpg,180
000013_class251.jpg,214
000014_class365.jpg,385
000015_class393.jpg,381
000016_class361.jpg,14
000017_class267.jpg,267
000018_class028.jpg,380
000019_class294.jpg,294
000020_class134.jpg,158
000021_class384.jpg,368
000022_class372.jpg,269
000023_class034.jpg,289
000024_class139.jpg,276
000025_class047.jpg,47
000026_class199.jpg,283
000027_class261.jpg,232
000028_class195.jpg,195
000029_class207.jpg,207
000030_class240.jpg,358
000031_class125.jpg,255
000032_class122.jpg,367
000033_class372.jpg,137
000034_class336.jpg,68
000035_class067.jpg,277
000036_class202.jpg,250
000037_class226.jpg,67
000038_class390.jpg,287
000039_class329.jpg,214
000040_class202.jpg,202
000041_class275.jpg,50
000042_class327.jpg,45
000043_class107.jpg,396
000044_class375.jpg,395
000045_class101.jpg,219
000046_class317.jpg,45
000047_class211.jpg,211
000048_class313.jpg,193
000049_class073.jpg,193
000050_class132.jpg,341
000051_class212.jpg,212
000052_class089.jpg,23
000053_class072.jpg,350
000054_class308.jpg,24
000055_class385.jpg,385
000056_class083.jpg,83
000057_class138.jpg,316
000058_class082.jpg,0
000059_class372.jpg,208
000060_class390.jpg,390
000061_class199.jpg,222
000062_class018.jpg,234
000063_class201.jpg,164
000064_class200.jpg,200
000065_class183.jpg,58
000066_class239.jpg,239
000067_class258.jpg,258
000068_class098.jpg,82
000069_class373.jpg,340
000070_class141.jpg,141
000071_class351.jpg,191
000072_class313.jpg,211
000073_class155.jpg,155
000074_class346.jpg,394
000075_class385.jpg,385
000076_class350.jpg,342
000077_class224.jpg,224
000078_class339.jpg,2
000079_class386.jpg,111
000080_class325.jpg,366
000081_class058.jpg,255
000082_class187.jpg,326
000083_class038.jpg,266
000084_class318.jpg,154
000085_class206.jpg,29
000086_class264.jpg,264
000087_class199.jpg,19
000088_class199.jpg,43
000089_class012.jpg,12
000090_class338.jpg,338
000091_class338.jpg,264
000092_class363.jpg,111
000093_class246.jpg,214
000094_class057.jpg,163
000095_class390.jpg,390
000096_class216.jpg,77
000097_class375.jpg,185
000098_class316.jpg,232
000099_class100.jpg,388
